종목코드,업종명,시가총액,corp_name,corp_code
005930,전기·전자,760673472977000,삼성전자,00126380
000660,전기·전자,492857601105000,SK하이닉스,00164779
005380,운송장비·부품,61120193151000,현대자동차,00164742
012450,운송장비·부품,48778977346000,한화에어로스페이스,00126566
034020,기계·장비,48170198179200,두산에너빌리티,00159616
000270,운송장비·부품,47083807558800,기아,00106641
068270,제약,46769596222500,셀트리온,00413046
028260,유통,41644253280000,삼성물산,00149655
035420,IT 서비스,38742601586000,NAVER,00266961
042660,운송장비·부품,35145616291800,한화오션,00111704
012330,운송장비·부품,33480323127000,현대모비스,00164788
015760,전기·가스,29851329580500,한국전력공사,00159193
267260,전기·전자,29522603565000,HD현대일렉트릭,01205851
035720,IT 서비스,27474517917900,카카오,00258801
005490,금속,24077553220000,POSCO홀딩스,00155319
010130,금속,24019606611000,고려아연,00102858
051910,화학,22766030617500,LG화학,00356361
010140,운송장비·부품,21252000000000,삼성중공업,00126478
006400,전기·전자,21153701625000,삼성SDI,00126362
064350,운송장비·부품,21108119466200,현대로템,00302926
009150,전기·전자,20167297920000,삼성전기,00126371
011200,운송·창고,19053406994000,HMM,00164645
298040,전기·전자,17203791060000,효성중공업,01316245
096770,화학,16888373521200,SK이노베이션,00631518
033780,음식료·담배,16563920958000,케이티앤지,00244455
003670,전기·전자,15734586318000,포스코퓨처엠,00155276
066570,전기·전자,14887815771800,LG전자,00401731
010120,전기·전자,14775000000000,엘에스일렉트릭,00105855
042700,기계·장비,13772612900000,한미반도체,00161383
086280,운송·창고,13567500000000,현대글로비스,00360595
018260,IT 서비스,13548852780000,삼성에스디에스,00126186
030200,통신,12928712440500,케이티,00190321
017670,통신,11448309824900,SK텔레콤,00159023
047810,운송장비·부품,11385092497600,한국항공우주,00309503
272210,전기·전자,10447242211700,한화시스템,00339391
079550,금속,9658000000000,LIG디펜스앤에어로스페이스,00503668
003230,음식료·담배,9612127140000,삼양식품,00126955
307950,IT 서비스,9091050033000,현대오토에버,00362441
010950,화학,9040398197600,S-Oil,00138279
000100,제약,9020439693600,유한양행,00145109
007660,전기·전자,8919220108500,이수페타시스,00107613
278470,화학,8721342615000,에이피알,01190568
047050,유통,8497070660400,포스코인터내셔널,00124504
003490,운송·창고,8174498674200,대한항공,00113526
000720,건설,7683547785000,현대건설,00164478
090430,화학,7422731117100,아모레퍼시픽,00583424
161390,화학,7060878933000,한국타이어앤테크놀로지,00937324
011070,전기·전자,6330951122500,LG이노텍,00105961
032640,통신,6202423162650,LG유플러스,00231363
021240,일반서비스,6148230871500,코웨이,00170558
000880,화학,6086649282000,한화,00160588
034220,전기·전자,5915000000000,LG디스플레이,00105873
128940,제약,5675269013000,한미약품,00828497
241560,기계·장비,5444624492000,두산밥캣,01032486
036570,IT 서비스,4664280763000,NC,00261443
009830,화학,4598125338000,한화솔루션,00162461
028050,일반서비스,4557000000000,삼성E&A,00126308
001440,전기·전자,4437445740000,대한전선,00113207
022100,일반서비스,4409007141000,포스코DX,00155212
251270,IT 서비스,4258996024100,넷마블,00904672
051900,화학,4131663930000,LG생활건강,00356370
004020,금속,4083441021000,현대제철,00145880
271560,음식료·담배,4076175209200,오리온,01238169
035250,오락·문화,3936505200000,강원랜드,00255619
011790,화학,3900434694000,SKC,00139889
066970,전기·전자,3793828564000,엘앤에프,00398701
036460,전기·가스,3544819200000,한국가스공사,00261285
111770,유통,3513899412400,영원무역,00776820
002380,화학,3492383103000,케이씨씨,00105271
017800,기계·장비,3432311403000,현대엘리베이터,00164724
000990,전기·전자,3206288135600,DB하이텍,00160843
097950,음식료·담배,3116216502000,CJ제일제당,00635134
204320,운송장비·부품,3070995648000,HL만도,01042775
011780,화학,3050920162400,금호석유화학,00106368
103140,금속,2990190462600,풍산,00684714
011170,화학,2887340782500,롯데케미칼,00165413
071970,기계·장비,2883327075000,HD현대마린엔진,00406046
103590,전기·전자,2770521159000,일진전기,00683469
012510,IT 서비스,2734450560000,더존비즈온,00172291
014680,화학,2720446800000,한솔케미칼,00140955
012750,일반서비스,2697941638000,에스원,00158501
004370,음식료·담배,2606412097000,농심,00108241
026960,유통,2592200000000,동서,00144395
