ratio_name,tail,corp_code,stock_code,corp_name_master,industry_krx,bsns_year,ratio_value,numerator_name,numerator_amount,denominator_name,denominator_amount
current_ratio,lowest,00172291,012510,더존비즈온,IT 서비스,2023,0.3023900022196771,current_assets,125628815212.0,current_liabilities,415452939217.0
current_ratio,lowest,00113526,003490,대한항공,운송·창고,2019,0.407266774621362,current_assets,3574701574491.0,current_liabilities,8777297332478.0
current_ratio,lowest,00904672,251270,넷마블,IT 서비스,2022,0.4347637429520392,current_assets,997344674257.0,current_liabilities,2293992289893.0
current_ratio,lowest,00159193,015760,한국전력공사,전기·가스,2024,0.4573356078383788,current_assets,29255205000000.0,current_liabilities,63968789000000.0
current_ratio,lowest,00159193,015760,한국전력공사,전기·가스,2025,0.4577054987908397,current_assets,30715388000000.0,current_liabilities,67107317000000.0
current_ratio,highest,00144395,026960,동서,유통,2025,17.666815234277912,current_assets,896818125836.0,current_liabilities,50762863252.0
current_ratio,highest,00144395,026960,동서,유통,2024,15.180204204240232,current_assets,899754296790.0,current_liabilities,59271554235.0
current_ratio,highest,00144395,026960,동서,유통,2023,14.689951642646388,current_assets,851964860367.0,current_liabilities,57996437367.0
current_ratio,highest,00144395,026960,동서,유통,2020,13.516073819130568,current_assets,755493781403.0,current_liabilities,55895949631.0
current_ratio,highest,00144395,026960,동서,유통,2021,13.29832468759997,current_assets,780421145328.0,current_liabilities,58685673847.0
quick_ratio,lowest,00172291,012510,더존비즈온,IT 서비스,2023,0.2996031780268284,current_assets_less_inventory,124471020910.0,current_liabilities,415452939217.0
quick_ratio,lowest,00159193,015760,한국전력공사,전기·가스,2024,0.3046168186801222,current_assets_less_inventory,19485969000000.0,current_liabilities,63968789000000.0
quick_ratio,lowest,00159193,015760,한국전력공사,전기·가스,2025,0.3064146343386072,current_assets_less_inventory,20562664000000.0,current_liabilities,67107317000000.0
quick_ratio,lowest,00113526,003490,대한항공,운송·창고,2019,0.3260430161957457,current_assets_less_inventory,2861776496328.0,current_liabilities,8777297332478.0
quick_ratio,lowest,00398701,066970,엘앤에프,전기·전자,2024,0.331962966803218,current_assets_less_inventory,515273766772.0,current_liabilities,1552202559623.0
quick_ratio,highest,00144395,026960,동서,유통,2025,16.323494725494093,current_assets_less_inventory,828627330545.0,current_liabilities,50762863252.0
quick_ratio,highest,00144395,026960,동서,유통,2024,14.053701132407973,current_assets_less_inventory,832984708872.0,current_liabilities,59271554235.0
quick_ratio,highest,00144395,026960,동서,유통,2023,13.729515568986898,current_assets_less_inventory,796262989776.0,current_liabilities,57996437367.0
quick_ratio,highest,00144395,026960,동서,유통,2020,12.79663438483393,current_assets_less_inventory,715280031021.0,current_liabilities,55895949631.0
quick_ratio,highest,00144395,026960,동서,유통,2019,12.480604364781318,current_assets_less_inventory,697464076345.0,current_liabilities,55883838311.0
roe,lowest,00111704,042660,한화오션,운송장비·부품,2022,-2.342072731614494,net_income,-1744778447657.0,total_equity,744971931958.0
roe,lowest,00107613,007660,이수페타시스,전기·전자,2019,-1.1982805465809754,net_income,-91099124274.0,total_equity,76024871249.0
roe,lowest,00398701,066970,엘앤에프,전기·전자,2025,-0.7900154538600137,net_income,-534701333152.0,total_equity,676823890646.0
roe,lowest,00111704,042660,한화오션,운송장비·부품,2021,-0.7665233195705657,net_income,-1699829429734.0,total_equity,2217583452890.0
roe,lowest,00159193,015760,한국전력공사,전기·가스,2022,-0.5816418833256636,net_income,-24429108000000.0,total_equity,42000256000000.0
roe,highest,00266961,035420,NAVER,IT 서비스,2021,0.6857854690465276,net_income,16477625559645.0,total_equity,24027376349275.0
roe,highest,01190568,278470,에이피알,화학,2025,0.6497418944233759,net_income,289654813287.0,total_equity,445799810314.0
roe,highest,00164645,011200,HMM,운송·창고,2021,0.5152538632326906,net_income,5337151000000.0,total_equity,10358294000000.0
roe,highest,00164645,011200,HMM,운송·창고,2022,0.4875039588335449,net_income,10085439000000.0,total_equity,20687912000000.0
roe,highest,00161383,042700,한미반도체,기계·장비,2023,0.4671588706803952,net_income,267167515858.0,total_equity,571898625127.0
operating_margin,lowest,00255619,035250,강원랜드,오락·문화,2020,-0.901803033808612,operating_income,-431583873583.0,revenue,478578866341.0
operating_margin,lowest,00159193,015760,한국전력공사,전기·가스,2022,-0.4582673634206515,operating_income,-32655153000000.0,revenue,71257863000000.0
operating_margin,lowest,00111704,042660,한화오션,운송장비·부품,2021,-0.3910883464890775,operating_income,-1754651375507.0,revenue,4486585681366.0
operating_margin,lowest,00111704,042660,한화오션,운송장비·부품,2022,-0.3319988993864359,operating_income,-1613564533698.0,revenue,4860150249534.0
operating_margin,lowest,00398701,066970,엘앤에프,전기·전자,2024,-0.2928920831560331,operating_income,-558685355192.0,revenue,1907478512809.0
operating_margin,highest,00164645,011200,HMM,운송·창고,2022,0.5355259199785608,operating_income,9951555000000.0,revenue,18582770000000.0
operating_margin,highest,00164645,011200,HMM,운송·창고,2021,0.5348298423360399,operating_income,7377522000000.0,revenue,13794148000000.0
operating_margin,highest,00164779,000660,SK하이닉스,전기·전자,2025,0.4859283037736495,operating_income,47206319000000.0,revenue,97146675000000.0
operating_margin,highest,00160843,000990,DB하이텍,전기·전자,2022,0.4588744739583695,operating_income,768746685740.0,revenue,1675287533666.0
operating_margin,highest,00161383,042700,한미반도체,기계·장비,2024,0.4569399702075971,operating_income,255391604854.0,revenue,558917191547.0
finance_cost_coverage,lowest,00255619,035250,강원랜드,오락·문화,2020,-36.82527179623912,operating_income,-431583873583.0,finance_costs,11719774289.0
finance_cost_coverage,lowest,00164478,000720,현대건설,건설,2024,-7.355257872399881,operating_income,-1263420000000.0,finance_costs,171771000000.0
finance_cost_coverage,lowest,00255619,035250,강원랜드,오락·문화,2021,-6.989367926273687,operating_income,-52695285784.0,finance_costs,7539349243.0
finance_cost_coverage,lowest,00159193,015760,한국전력공사,전기·가스,2022,-6.879416641684878,operating_income,-32655153000000.0,finance_costs,4746791000000.0
finance_cost_coverage,lowest,00155212,022100,포스코DX,일반서비스,2021,-6.188828432410248,operating_income,-19477262841.0,finance_costs,3147164775.0
finance_cost_coverage,highest,00255619,035250,강원랜드,오락·문화,2019,255.5597271694456,operating_income,501153152199.0,finance_costs,1961002063.0
finance_cost_coverage,highest,00144395,026960,동서,유통,2019,231.20062161932745,operating_income,38471985738.0,finance_costs,166400875.0
finance_cost_coverage,highest,00158501,012750,에스원,일반서비스,2019,229.0642175300863,operating_income,196822006653.0,finance_costs,859243791.0
finance_cost_coverage,highest,00144395,026960,동서,유통,2023,205.6619886652794,operating_income,43752486840.0,finance_costs,212739783.0
finance_cost_coverage,highest,00144395,026960,동서,유통,2024,171.96680684399243,operating_income,44476967156.0,finance_costs,258636931.0
