corp_code,stock_code,corp_name_master,industry_krx,total_years,assessed_years,avg_distress_flag_count,max_distress_flag_count,high_risk_years,moderate_or_high_years,watch_or_above_years,insufficient_data_years,high_risk_year_pct,moderate_or_high_year_pct
00102858,010130,고려아연,금속,7,3,0.3333333333333333,1,0,0,1,4,0.0,0.0
00105271,002380,케이씨씨,화학,7,3,1.0,1,0,0,3,4,0.0,0.0
00105855,010120,엘에스일렉트릭,전기·전자,7,7,0.14285714285714285,1,0,0,1,0,0.0,0.0
00105873,034220,LG디스플레이,전기·전자,7,7,2.7142857142857144,4,4,6,7,0,57.14285714285714,85.71428571428571
00105961,011070,LG이노텍,전기·전자,7,7,0.0,0,0,0,0,0,0.0,0.0
00106368,011780,금호석유화학,화학,7,7,0.14285714285714285,1,0,0,1,0,0.0,0.0
00106641,000270,기아,운송장비·부품,7,3,0.0,0,0,0,0,4,0.0,0.0
00107613,007660,이수페타시스,전기·전자,7,7,1.4285714285714286,5,2,2,3,0,28.57142857142857,28.57142857142857
00108241,004370,농심,음식료·담배,7,7,0.0,0,0,0,0,0,0.0,0.0
00111704,042660,한화오션,운송장비·부품,7,7,2.4285714285714284,5,3,5,6,0,42.857142857142854,71.42857142857143
00113207,001440,대한전선,전기·전자,7,2,1.0,2,0,1,1,5,0.0,50.0
00113526,003490,대한항공,운송·창고,7,7,2.142857142857143,4,2,4,7,0,28.57142857142857,57.14285714285714
00124504,047050,포스코인터내셔널,유통,7,7,1.1428571428571428,2,0,1,7,0,0.0,14.285714285714285
00126186,018260,삼성에스디에스,IT 서비스,7,7,0.0,0,0,0,0,0,0.0,0.0
00126308,028050,삼성E&A,일반서비스,7,1,1.0,1,0,0,1,6,0.0,0.0
00126362,006400,삼성SDI,전기·전자,7,7,0.8571428571428571,3,2,2,2,0,28.57142857142857,28.57142857142857
00126371,009150,삼성전기,전기·전자,7,3,0.0,0,0,0,0,4,0.0,0.0
00126380,005930,삼성전자,전기·전자,7,3,0.3333333333333333,1,0,0,1,4,0.0,0.0
00126478,010140,삼성중공업,운송장비·부품,7,7,3.4285714285714284,5,5,6,7,0,71.42857142857143,85.71428571428571
00126566,012450,한화에어로스페이스,운송장비·부품,7,7,0.42857142857142855,2,0,1,2,0,0.0,14.285714285714285
00126955,003230,삼양식품,음식료·담배,7,7,0.0,0,0,0,0,0,0.0,0.0
00138279,010950,S-Oil,화학,7,7,1.4285714285714286,3,2,3,5,0,28.57142857142857,42.857142857142854
00139889,011790,SKC,화학,7,7,2.2857142857142856,4,4,4,6,0,57.14285714285714,57.14285714285714
00140955,014680,한솔케미칼,화학,7,7,0.0,0,0,0,0,0,0.0,0.0
00144395,026960,동서,유통,7,7,0.0,0,0,0,0,0,0.0,0.0
00145109,000100,유한양행,제약,7,7,0.0,0,0,0,0,0,0.0,0.0
00145880,004020,현대제철,금속,7,3,0.6666666666666666,1,0,0,2,4,0.0,0.0
00149655,028260,삼성물산,유통,7,7,0.0,0,0,0,0,0,0.0,0.0
00155212,022100,포스코DX,일반서비스,7,7,0.5714285714285714,3,1,1,2,0,14.285714285714285,14.285714285714285
00155276,003670,포스코퓨처엠,전기·전자,7,7,1.1428571428571428,2,0,4,4,0,0.0,57.14285714285714
00155319,005490,POSCO홀딩스,금속,7,3,1.0,1,0,0,3,4,0.0,0.0
00158501,012750,에스원,일반서비스,7,7,0.0,0,0,0,0,0,0.0,0.0
00159023,017670,SK텔레콤,통신,7,7,0.5714285714285714,1,0,0,4,0,0.0,0.0
00159193,015760,한국전력공사,전기·가스,7,7,2.857142857142857,5,4,6,7,0,57.14285714285714,85.71428571428571
00159616,034020,두산에너빌리티,기계·장비,7,7,1.8571428571428572,4,2,4,6,0,28.57142857142857,57.14285714285714
00160588,000880,한화,화학,7,7,1.4285714285714286,2,0,3,7,0,0.0,42.857142857142854
00160843,000990,DB하이텍,전기·전자,7,7,0.0,0,0,0,0,0,0.0,0.0
00161383,042700,한미반도체,기계·장비,7,7,0.0,0,0,0,0,0,0.0,0.0
00162461,009830,한화솔루션,화학,7,3,2.6666666666666665,4,2,2,3,4,66.66666666666666,66.66666666666666
00164478,000720,현대건설,건설,7,7,0.8571428571428571,3,1,1,4,0,14.285714285714285,14.285714285714285
00164645,011200,HMM,운송·창고,7,7,1.1428571428571428,4,2,2,3,0,28.57142857142857,28.57142857142857
00164724,017800,현대엘리베이터,기계·장비,7,3,0.3333333333333333,1,0,0,1,4,0.0,0.0
00164742,005380,현대자동차,운송장비·부품,7,3,1.0,1,0,0,3,4,0.0,0.0
00164779,000660,SK하이닉스,전기·전자,7,7,0.2857142857142857,2,0,1,1,0,0.0,14.285714285714285
00164788,012330,현대모비스,운송장비·부품,7,7,0.0,0,0,0,0,0,0.0,0.0
00165413,011170,롯데케미칼,화학,7,7,1.2857142857142858,3,1,4,4,0,14.285714285714285,57.14285714285714
00170558,021240,코웨이,일반서비스,7,7,0.7142857142857143,1,0,0,5,0,0.0,0.0
00172291,012510,더존비즈온,IT 서비스,7,7,0.42857142857142855,1,0,0,3,0,0.0,0.0
00190321,030200,케이티,통신,7,7,0.14285714285714285,1,0,0,1,0,0.0,0.0
00231363,032640,LG유플러스,통신,7,7,0.14285714285714285,1,0,0,1,0,0.0,0.0
00244455,033780,케이티앤지,음식료·담배,7,7,0.0,0,0,0,0,0,0.0,0.0
00255619,035250,강원랜드,오락·문화,7,7,0.7142857142857143,3,1,2,2,0,14.285714285714285,28.57142857142857
00258801,035720,카카오,IT 서비스,7,4,0.75,1,0,0,3,3,0.0,0.0
00261285,036460,한국가스공사,전기·가스,7,7,3.142857142857143,4,6,6,7,0,85.71428571428571,85.71428571428571
00261443,036570,NC,IT 서비스,7,0,,,0,0,0,7,,
00266961,035420,NAVER,IT 서비스,7,7,0.0,0,0,0,0,0,0.0,0.0
00302926,064350,현대로템,운송장비·부품,7,7,0.7142857142857143,4,1,1,2,0,14.285714285714285,14.285714285714285
00309503,047810,한국항공우주,운송장비·부품,7,7,1.2857142857142858,2,0,3,6,0,0.0,42.857142857142854
00339391,272210,한화시스템,전기·전자,7,7,0.5714285714285714,1,0,0,4,0,0.0,0.0
00356361,051910,LG화학,화학,7,7,0.42857142857142855,2,0,1,2,0,0.0,14.285714285714285
00356370,051900,LG생활건강,화학,7,7,0.14285714285714285,1,0,0,1,0,0.0,0.0
00360595,086280,현대글로비스,운송·창고,7,4,0.0,0,0,0,0,3,0.0,0.0
00362441,307950,현대오토에버,IT 서비스,7,7,0.0,0,0,0,0,0,0.0,0.0
00398701,066970,엘앤에프,전기·전자,7,7,3.142857142857143,5,5,6,7,0,71.42857142857143,85.71428571428571
00401731,066570,LG전자,전기·전자,7,7,0.0,0,0,0,0,0,0.0,0.0
00406046,071970,HD현대마린엔진,기계·장비,7,7,1.7142857142857142,4,2,4,5,0,28.57142857142857,57.14285714285714
00413046,068270,셀트리온,제약,7,7,0.0,0,0,0,0,0,0.0,0.0
00503668,079550,LIG디펜스앤에어로스페이스,금속,7,7,1.1428571428571428,3,1,2,5,0,14.285714285714285,28.57142857142857
00583424,090430,아모레퍼시픽,화학,7,7,0.0,0,0,0,0,0,0.0,0.0
00631518,096770,SK이노베이션,화학,7,6,1.6666666666666667,3,1,3,6,1,16.666666666666664,50.0
00635134,097950,CJ제일제당,음식료·담배,7,7,0.8571428571428571,2,0,1,5,0,0.0,14.285714285714285
