corp_code,stock_code,corp_name_master,industry_krx,bsns_year,cash_and_cash_equivalents,cfo,current_assets,current_liabilities,finance_costs,inventory,net_income,operating_income,revenue,total_assets,total_equity,total_liabilities,liabilities_to_assets,equity_ratio,current_ratio,quick_ratio,cash_ratio,roa,roe,operating_margin,finance_cost_coverage,cfo_to_assets,cfo_to_liabilities,bs_check,bs_check_relative,weak_liquidity,weak_quick_liquidity,high_leverage,negative_roa,negative_operating_margin,weak_finance_cost_coverage,negative_cfo,flag_weak_liquidity,flag_high_leverage,flag_weak_profitability,flag_weak_coverage,flag_negative_cashflow,available_dimension_count,distress_flag_count,risk_bucket
00102858,010130,고려아연,금속,2019,689518057370.0,692660279007.0,4597942700017.0,704279137809.0,,1555733552612.0,638613351819.0,805328836892.0,6694810889702.0,7840561221499.0,6838391895409.0,1002169326090.0,0.127818570352085,0.8721814296479149,6.52858000922918,4.319607076349385,0.979040866544874,0.0814499541267412,0.0933864805624458,0.1202914989175813,,0.0883432013907001,0.6911609255787534,0.0,0.0,False,False,False,False,False,,False,False,False,False,,False,4,,Insufficient data
00102858,010130,고려아연,금속,2020,425567595232.0,456522986973.0,4912869202998.0,1118415592360.0,,2250033727712.0,574828670832.0,897387769203.0,7581926858435.0,8499645577650.0,7087028686312.0,1412616891338.0,0.1661971523909781,0.8338028476090219,4.392704497825551,2.3808998135184045,0.3805093546076176,0.0676297223902517,0.0811099681227808,0.1183588006002251,,0.0537108262694431,0.3231753703161452,0.0,0.0,False,False,False,False,False,,False,False,False,False,,False,4,,Insufficient data
00102858,010130,고려아연,금속,2021,466465326011.0,606883888565.0,5689044210643.0,1770527531625.0,,2909108884069.0,811106029144.0,1096146343693.0,9976776443636.0,9964048634649.0,7734234462824.0,2229814171825.0,0.2237859582570723,0.7762140417429276,3.2131916104244724,1.5701169718736652,0.2634612101077443,0.0814032587439867,0.1048721800512679,0.1098697910979263,,0.0609073591285595,0.2721679215395306,0.0,0.0,False,False,False,False,False,,False,False,False,False,,False,4,,Insufficient data
00102858,010130,고려아연,금속,2022,780981792302.0,784694563029.0,6071090869900.0,2319116608598.0,,2825444894721.0,619621572820.0,919171130822.0,11219358600107.0,11918425719802.0,9053089301953.0,2865336417849.0,0.2404123233396802,0.7595876766603197,2.617846315873793,1.3995182317033743,0.3367583110769644,0.0519885417241408,0.0684431084410412,0.0819272441129775,,0.0658387761502142,0.2738577425467087,0.0,0.0,False,False,False,False,False,,False,False,False,False,,False,4,,Insufficient data
00102858,010130,고려아연,금속,2023,676775222868.0,820863992249.0,5571656932735.0,1902819300929.0,270811108753.0,2637705334401.0,438487953148.0,659935424598.0,9704521343024.0,11768590335824.0,9365615555695.0,2402974780129.0,0.2041854386599099,0.7958145613400901,2.928106168575644,1.541897119133476,0.3556697278283769,0.0372591738377728,0.0468189144152266,0.068002882498928,2.4368846153940846,0.069750409252522,0.341603249038233,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00102858,010130,고려아연,금속,2024,893806431755.0,515812554313.0,7567074179254.0,6366334342627.0,431839323163.0,3780440277160.0,304669203777.0,723472208523.0,12052918410249.0,14602501706413.0,7405607301858.0,7196894404555.0,0.4928535225847178,0.5071464774152822,1.188607724948911,0.5947902982003119,0.1403957730856749,0.0208641786114771,0.041140340198779,0.0600246499559648,1.6753273028123974,0.0353235743219581,0.0716715468253273,0.0,0.0,False,False,False,False,False,False,False,False,False,False,False,False,5,0,Low
00102858,010130,고려아연,금속,2025,3451069963536.0,-628210721953.0,12069316661153.0,6127539235858.0,617368807708.0,6220537062978.0,770249337092.0,1231926775791.0,16587850779912.0,20210431697664.0,10998929848586.0,9211501849078.0,0.4557795690303192,0.5442204309696809,1.969684109164747,0.954507082377912,0.5632065060212983,0.0381114737485309,0.0700294799308154,0.0742668108205357,1.9954470656924903,-0.0310834885345675,-0.068198512277982,0.0,0.0,False,False,False,False,False,False,True,False,False,False,False,True,5,1,Watch
00105271,002380,케이씨씨,화학,2019,214364777780.0,274779646909.0,2059589238830.0,2916784567953.0,,481101854114.0,-221877261778.0,133209522238.0,2719563984151.0,9382221503013.0,4453226856338.0,4928994646675.0,0.525354751547073,0.474645248452927,0.7061163383332832,0.5411737987299428,0.0734935243882071,-0.0236486914859925,-0.0498239296886966,0.0489819408604889,,0.0292872692059932,0.0557476050606711,0.0,0.0,True,False,False,True,False,,False,True,False,True,,False,4,,Insufficient data
00105271,002380,케이씨씨,화학,2020,492511997839.0,679854398097.0,3372155707442.0,3014059194900.0,,911513169052.0,560873030681.0,133845504026.0,5083631492987.0,12347572328146.0,5245995001770.0,7101577326376.0,0.5751395608502022,0.4248604391497977,1.118808719200978,0.816388258914616,0.1634048855683939,0.0454237493634682,0.1069145186931671,0.0263287187929816,,0.055059762358896,0.0957328726918102,0.0,0.0,False,False,False,False,False,,False,False,False,False,,False,4,,Insufficient data
00105271,002380,케이씨씨,화학,2021,541200616648.0,424043437081.0,3668126354343.0,2699971576814.0,,1306421988122.0,-53211168479.0,388769767968.0,5874899292339.0,12878863208936.0,5376066871921.0,7502796337015.0,0.582566660992966,0.417433339007034,1.3585796183348844,0.8747145290350947,0.2004467829571093,-0.0041316665621605,-0.0098977876850676,0.0661747118754809,,0.0329255331159024,0.0565180524745133,0.0,0.0,False,False,False,True,False,,False,False,False,True,,False,4,,Insufficient data
