ratio_name,count,mean,std,min,1%,5%,25%,50%,75%,95%,99%,max
liabilities_to_assets,581.0,0.4841,0.1896,0.034,0.0853,0.1818,0.3145,0.4886,0.6251,0.7912,0.874,0.9391
equity_ratio,579.0,0.5161,0.1891,0.0609,0.1254,0.2146,0.3752,0.5114,0.6853,0.8184,0.9147,0.966
current_ratio,581.0,1.8096,1.6814,0.3024,0.4809,0.7193,1.0566,1.3787,1.973,3.8523,12.212,17.6668
quick_ratio,574.0,1.4306,1.603,0.2996,0.3543,0.5129,0.7477,1.0329,1.5496,3.4119,11.512,16.3235
cash_ratio,574.0,0.3811,0.3376,0.0044,0.0257,0.0663,0.1733,0.2984,0.4934,0.9479,1.5502,3.9122
roa,571.0,0.0446,0.0656,-0.2186,-0.1179,-0.0486,0.0148,0.0373,0.0734,0.1331,0.2694,0.4891
roe,569.0,0.067,0.1754,-2.3421,-0.531,-0.1365,0.0357,0.0763,0.1269,0.2452,0.429,0.6858
operating_margin,575.0,0.0778,0.1067,-0.9018,-0.208,-0.0488,0.0363,0.0648,0.1055,0.2547,0.4063,0.5355
finance_cost_coverage,533.0,11.6949,28.7687,-36.8253,-4.6664,-1.0991,1.2588,3.6399,9.4469,47.1949,153.768,255.5597
cfo_to_assets,566.0,0.0754,0.0758,-0.2858,-0.1136,-0.0443,0.0375,0.0723,0.1122,0.179,0.3174,0.4419
cfo_to_liabilities,566.0,0.2196,0.2849,-1.6616,-0.1718,-0.0684,0.0729,0.1585,0.2935,0.6607,1.5485,2.1415
