bsns_year,risk_bucket,count,pct
2019,Low,41,49.39759036144578
2019,Watch,13,15.66265060240964
2019,Moderate,2,2.4096385542168677
2019,High,12,14.457831325301203
2019,Insufficient data,15,18.072289156626507
2020,Low,44,53.01204819277109
2020,Watch,6,7.228915662650602
2020,Moderate,7,8.433734939759036
2020,High,9,10.843373493975903
2020,Insufficient data,17,20.481927710843372
2021,Low,40,48.19277108433735
2021,Watch,12,14.457831325301203
2021,Moderate,5,6.024096385542169
2021,High,7,8.433734939759036
2021,Insufficient data,19,22.89156626506024
2022,Low,40,48.19277108433735
2022,Watch,13,15.66265060240964
2022,Moderate,4,4.819277108433735
2022,High,9,10.843373493975903
2022,Insufficient data,17,20.481927710843372
2023,Low,44,53.01204819277109
2023,Watch,19,22.89156626506024
2023,Moderate,7,8.433734939759036
2023,High,8,9.63855421686747
2023,Insufficient data,5,6.024096385542169
2024,Low,44,53.01204819277109
2024,Watch,17,20.481927710843372
2024,Moderate,9,10.843373493975903
2024,High,9,10.843373493975903
2024,Insufficient data,4,4.819277108433735
2025,Low,47,56.62650602409639
2025,Watch,16,19.27710843373494
2025,Moderate,11,13.253012048192772
2025,High,6,7.228915662650602
2025,Insufficient data,3,3.614457831325301
